Feature_Set,Motif,N_Features,N_Graphs,Mean_Impact,Std_Impact,SE_Impact
Cascade,Cascade,1,100,-4.860091301413643e-06,4.2556106547880914e-05,4.255610654788092e-06
Cascade,Feedforward Loop,1,100,1.0978864366380232e-06,5.8887944380097297e-05,5.88879443800973e-06
Cascade,Feedback Loop,1,100,-6.5884522689771285e-06,2.724806656624754e-05,2.724806656624754e-06
Cascade,Single Input Module,1,100,2.90668889585286e-06,1.5214190032310573e-05,1.5214190032310574e-06
Feedback Loop,Cascade,23,100,-1.3928484414849929e-05,0.00012680804103590778,1.2680804103590777e-05
Feedback Loop,Feedforward Loop,23,100,7.758710555152844e-06,0.00016852068327019346,1.6852068327019346e-05
Feedback Loop,Feedback Loop,23,100,7.581560519132605e-05,0.0006530663046132579,6.530663046132579e-05
Feedback Loop,Single Input Module,23,100,1.1718897938978507e-05,4.407618462261205e-05,4.407618462261205e-06
Feedforward Loop,Cascade,4,100,-5.529947995863407e-06,5.277419994395502e-05,5.2774199943955025e-06
Feedforward Loop,Feedforward Loop,4,100,1.7387551359152868e-06,7.714964381723691e-05,7.714964381723692e-06
Feedforward Loop,Feedback Loop,4,100,1.2059956740507998e-05,4.181886928851191e-05,4.181886928851192e-06
Feedforward Loop,Single Input Module,4,100,4.075366664652365e-06,2.000458615962368e-05,2.000458615962368e-06
Single Input Module,Cascade,22,100,-1.3928484414849929e-05,0.00012680804103590778,1.2680804103590777e-05
Single Input Module,Feedforward Loop,22,100,7.758710555152844e-06,0.00016852068327019346,1.6852068327019346e-05
Single Input Module,Feedback Loop,22,100,7.581560519132605e-05,0.0006530663046132579,6.530663046132579e-05
Single Input Module,Single Input Module,22,100,1.1718897938978507e-05,4.407618462261205e-05,4.407618462261205e-06
