number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,params_num_heads,state
0,0.006061865482479334,2025-11-29 18:30:28.243597,2025-11-29 18:39:57.890645,0 days 00:09:29.647048,0.4,56,0.0024810409748678114,8,COMPLETE
1,0.004758755560033023,2025-11-29 18:39:57.893588,2025-11-29 18:50:43.030374,0 days 00:10:45.136786,0.0,32,0.029154431891537533,2,COMPLETE
2,0.0049241348169744015,2025-11-29 18:50:43.033424,2025-11-29 19:01:27.041360,0 days 00:10:44.007936,0.0,88,0.07579479953348005,6,COMPLETE
3,0.006807941128499806,2025-11-29 19:01:27.043917,2025-11-29 19:16:48.488410,0 days 00:15:21.444493,0.1,112,5.415244119402538e-05,2,COMPLETE
4,0.006740072392858565,2025-11-29 19:16:48.491072,2025-11-29 19:32:02.670994,0 days 00:15:14.179922,0.2,48,0.0001461896279370495,6,COMPLETE
5,0.006053052726201713,2025-11-29 19:32:02.673794,2025-11-29 19:39:52.040255,0 days 00:07:49.366461,0.5,16,0.06553710983779612,2,COMPLETE
6,0.004690344328992069,2025-11-29 19:39:52.042755,2025-11-29 19:55:07.229848,0 days 00:15:15.187093,0.0,16,0.003563584168202275,2,COMPLETE
7,0.005891045555472374,2025-11-29 19:55:07.232502,2025-11-29 20:10:23.128822,0 days 00:15:15.896320,0.25,80,0.0022164597447809427,4,COMPLETE
8,0.006075705518014729,2025-11-29 20:10:23.131254,2025-11-29 20:25:38.613303,0 days 00:15:15.482049,0.25,16,0.00038747523751139507,4,COMPLETE
9,0.007387092104181647,2025-11-29 20:25:38.615954,2025-11-29 20:40:54.001656,0 days 00:15:15.385702,0.1,128,1.2012087465488295e-05,4,COMPLETE
10,0.006038728752173483,2025-11-29 20:40:54.004375,2025-11-29 20:47:55.827124,0 days 00:07:01.822749,0.35000000000000003,56,0.00897288758056439,8,COMPLETE
11,0.004631798365153372,2025-11-29 20:47:55.829688,2025-11-29 21:03:12.059492,0 days 00:15:16.229804,0.0,32,0.014874209528998391,2,COMPLETE
12,0.00569271738640964,2025-11-29 21:03:12.062057,2025-11-29 21:18:27.842666,0 days 00:15:15.780609,0.1,32,0.009883182206987485,2,COMPLETE
13,0.004676339915022254,2025-11-29 21:18:27.845160,2025-11-29 21:34:01.710027,0 days 00:15:33.864867,0.0,32,0.008409401337845176,2,COMPLETE
14,0.005177962360903621,2025-11-29 21:34:01.713074,2025-11-29 21:49:54.813661,0 days 00:15:53.100587,0.15000000000000002,40,0.012681916572500137,4,COMPLETE
15,0.005464333342388272,2025-11-29 21:49:54.816035,2025-11-29 22:06:13.091142,0 days 00:16:18.275107,0.05,64,0.0009118854888371452,2,COMPLETE
16,0.005941051640547812,2025-11-29 22:06:13.093657,2025-11-29 22:22:30.718390,0 days 00:16:17.624733,0.2,96,0.015086255424220282,6,COMPLETE
17,0.006024044705554843,2025-11-29 22:22:30.721043,2025-11-29 22:30:00.329785,0 days 00:07:29.608742,0.35000000000000003,32,0.03240400132591131,4,COMPLETE
18,0.005508453934453428,2025-11-29 22:30:00.332226,2025-11-29 22:46:21.327445,0 days 00:16:20.995219,0.05,72,0.0007744030525926456,2,COMPLETE
19,0.004789149155840278,2025-11-29 22:46:21.329916,2025-11-29 23:01:46.401422,0 days 00:15:25.071506,0.05,40,0.004061311888322742,4,COMPLETE
